,time,open,high,low,close,volume,ticker
42,2015-03-12,9030,9030,8960,8970,368140,FPT
43,2015-03-13,9030,9070,8960,8970,284450,FPT
44,2015-03-16,8970,9010,8970,9010,214490,FPT
45,2015-03-17,9030,9210,9030,9110,717570,FPT
46,2015-03-18,9110,9110,9050,9050,228430,FPT
47,2015-03-19,9100,9110,9030,9030,252430,FPT
48,2015-03-20,9030,9100,9010,9090,284340,FPT
49,2015-03-23,9090,9100,9010,9010,274890,FPT
50,2015-03-24,9030,9030,8900,8960,349040,FPT
51,2015-03-25,9030,9030,8940,8970,221110,FPT
52,2015-03-26,9010,9010,8970,8990,276070,FPT
53,2015-03-27,9050,9050,8970,8970,226880,FPT
54,2015-03-30,9010,9010,8830,8830,413070,FPT
55,2015-03-31,8830,8880,8830,8830,233260,FPT
56,2015-04-01,8880,8880,8690,8690,270910,FPT
57,2015-04-02,8710,8840,8690,8770,168030,FPT
58,2015-04-03,8840,8900,8770,8900,116640,FPT
59,2015-04-06,8900,8960,8840,8840,168170,FPT
60,2015-04-07,8830,8940,8830,8910,150220,FPT
61,2015-04-08,8940,8960,8900,8910,162560,FPT
62,2015-04-09,8910,8940,8840,8910,258950,FPT
63,2015-04-10,8910,9010,8900,8970,345170,FPT
64,2015-04-13,8970,9010,8960,8970,164060,FPT
65,2015-04-14,8970,8970,8880,8880,224290,FPT
66,2015-04-15,8910,8940,8840,8910,223010,FPT
67,2015-04-16,8910,8970,8880,8900,152830,FPT
68,2015-04-17,8910,9380,8910,9290,1497670,FPT
69,2015-04-20,9290,9290,9100,9210,358680,FPT
70,2015-04-21,9210,9290,9110,9110,263970,FPT
71,2015-04-22,9110,9290,9110,9110,539100,FPT
72,2015-04-23,9210,9290,9090,9210,641410,FPT
73,2015-04-24,9210,9290,9110,9210,268410,FPT
74,2015-04-27,9380,9570,9290,9380,636760,FPT
75,2015-05-04,9380,9470,8940,9010,818280,FPT
76,2015-05-05,9010,9210,8970,9110,444430,FPT
77,2015-05-06,9110,9210,9050,9050,406590,FPT
78,2015-05-07,9090,9210,9050,9100,263570,FPT
79,2015-05-08,9100,9210,9100,9100,241080,FPT
80,2015-05-11,9110,9110,9050,9070,229310,FPT
81,2015-05-12,9070,9070,8970,8970,253240,FPT
82,2015-05-13,8970,8990,8880,8970,471350,FPT
83,2015-05-14,8940,9050,8940,8990,284980,FPT
84,2015-05-15,9010,9050,8960,8960,222770,FPT
85,2015-05-18,8940,8970,8900,8900,493240,FPT
86,2015-05-19,8880,8970,8880,8970,261290,FPT
87,2015-05-20,9050,9290,9030,9290,1067870,FPT
88,2015-05-21,9290,9660,9210,9570,1966840,FPT
89,2015-05-22,9570,9660,9470,9470,639970,FPT
90,2015-05-25,9470,9840,9470,9840,1194140,FPT
91,2015-05-26,9750,9840,9660,9660,953640,FPT
92,2015-05-27,9660,9750,9470,9570,1216710,FPT
93,2015-05-28,9780,9800,9630,9700,1158400,FPT
94,2015-05-29,9710,9710,9590,9610,357830,FPT
95,2015-06-01,9590,9590,9460,9460,747720,FPT
96,2015-06-02,9460,9460,9330,9330,790020,FPT
97,2015-06-03,9330,9570,9310,9440,638440,FPT
98,2015-06-04,9440,9510,9440,9480,224510,FPT
99,2015-06-05,9460,9590,9440,9570,578380,FPT
100,2015-06-08,9610,9630,9460,9460,698960,FPT
101,2015-06-09,9440,9650,9440,9460,618760,FPT
102,2015-06-10,9460,9540,9410,9520,249790,FPT
